Location,Year,Yearly Average Temp
Oklahoma,1990,61.84
Oklahoma,1991,61.77
Oklahoma,1992,60.08
Oklahoma,1993,58.4
Oklahoma,1994,60.04
Oklahoma,1995,59.54
Oklahoma,1996,59.23
Oklahoma,1997,59.13
Oklahoma,1998,62.79
Oklahoma,1999,61.78
Oklahoma,2000,60.41
Oklahoma,2001,60.73
Oklahoma,2002,59.28
Oklahoma,2003,60.02
Oklahoma,2004,60.48
Oklahoma,2005,61.16
Oklahoma,2006,63.46
Oklahoma,2007,61.05
Oklahoma,2008,60.6
Oklahoma,2009,60.06
Oklahoma,2010,60.87
Oklahoma,2011,62.82
Oklahoma,2012,63.84
Oklahoma,2013,59.62
Oklahoma,2014,60.35
Oklahoma,2015,61.53
Oklahoma,2016,62.97
Oklahoma,2017,62.17
Oklahoma,2018,60.12
Oklahoma,2019,59.64
Oklahoma,2020,62.45
Florida,1990,68.82
Florida,1991,67.98
Florida,1992,66.4
Florida,1993,66.94
Florida,1994,67.67
Florida,1995,67.33
Florida,1996,65.82
Florida,1997,67.28
Florida,1998,69.21
Florida,1999,67.7
Florida,2000,66.63
Florida,2001,66.93
Florida,2002,67.68
Florida,2003,66.38
Florida,2004,67.08
Florida,2005,67.63
Florida,2006,68.18
Florida,2007,68.38
Florida,2008,67.21
Florida,2009,67.54
Florida,2010,66.09
Florida,2011,68.17
Florida,2012,68.85
Florida,2013,68.49
Florida,2014,67.36
Florida,2015,70.7
Florida,2016,69.92
Florida,2017,69.42
Florida,2018,68.6
Florida,2019,69.89
Florida,2020,63.07
Kentucky,1990,57.12
Kentucky,1991,57.2
Kentucky,1992,54.98
Kentucky,1993,54.86
Kentucky,1994,55.59
Kentucky,1995,55.22
Kentucky,1996,54.07
Kentucky,1997,53.65
Kentucky,1998,57.05
Kentucky,1999,56.52
Kentucky,2000,54.59
Kentucky,2001,55.78
Kentucky,2002,56.11
Kentucky,2003,53.97
Kentucky,2004,55.22
Kentucky,2005,56.11
Kentucky,2006,56.19
Kentucky,2007,57.17
Kentucky,2008,54.85
Kentucky,2009,54.75
Kentucky,2010,55.5
Kentucky,2011,56.07
Kentucky,2012,57.43
Kentucky,2013,54.23
Kentucky,2014,53.26
Kentucky,2015,55.7
Kentucky,2016,57.75
Kentucky,2017,57.81
Kentucky,2018,56.86
Kentucky,2019,57.38
Kentucky,2020,54.61
Missouri,1990,56.39
Missouri,1991,56.71
Missouri,1992,55
Missouri,1993,53.1
Missouri,1994,55.08
Missouri,1995,54.43
Missouri,1996,54.06
Missouri,1997,53.83
Missouri,1998,57.36
Missouri,1999,56.76
Missouri,2000,55.58
Missouri,2001,56.43
Missouri,2002,55.69
Missouri,2003,55.11
Missouri,2004,55.66
Missouri,2005,57.23
Missouri,2006,57.96
Missouri,2007,57.26
Missouri,2008,54.78
Missouri,2009,55.38
Missouri,2010,56.44
Missouri,2011,57.29
Missouri,2012,60.1
Missouri,2013,54.63
Missouri,2014,53.97
Missouri,2015,56.67
Missouri,2016,58.01
Missouri,2017,58.83
Missouri,2018,56.43
Missouri,2019,56.29
Missouri,2020,59.95
Texas,1990,69.62
Texas,1991,68.13
Texas,1992,67.95
Texas,1993,67.82
Texas,1994,68.85
Texas,1995,68.31
Texas,1996,68.37
Texas,1997,66.53
Texas,1998,69.85
Texas,1999,69.08
Texas,2000,69.33
Texas,2001,67.14
Texas,2002,67.73
Texas,2003,68.4
Texas,2004,68.19
Texas,2005,69.12
Texas,2006,70.55
Texas,2007,67.74
Texas,2008,69.58
Texas,2009,69.33
Texas,2010,67.83
Texas,2011,70.86
Texas,2012,70.4
Texas,2013,68.64
Texas,2014,67.76
Texas,2015,68.5
Texas,2016,70.16
Texas,2017,70.88
Texas,2018,69.07
Texas,2019,69.58
Texas,2020,72.79
