StateCode,Year,projectamount
AK,2000,13925389.53
AK,2002,39451889.31
AK,2003,2437625.49
AK,2004,16113647.16
AK,2005,4989274.58
AK,2006,29074288.89
AK,2008,16073750.96
AK,2009,31186791.23
AK,2011,8907495.09
AK,2012,35688294.42
AK,2013,41048874.14
AK,2014,45202800.28
AK,2015,5351019.41
AK,2016,15148032.03
AK,2017,11476570.99
AK,2018,5453021.36
AK,2019,45982401.68
AK,2020,4657202.66
AL,1999,7331674.15
AL,2000,5709572.76
AL,2001,9119015.14
AL,2002,19862627.39
AL,2003,16183477.18
AL,2004,240795262.2
AL,2005,139616866.7
AL,2007,13513550.33
AL,2008,19010645.69
AL,2009,69127519.95
AL,2010,9748973.09
AL,2011,228501652.1
AL,2012,8784097.19
AL,2014,44777553.58
AL,2016,49468197.99
AL,2017,9143841.08
AL,2018,74632087.43
AL,2019,12038393.24
AL,2020,1354656.54
AR,1999,9190204.51
AR,2000,206301782.7
AR,2001,3852090.97
AR,2002,2829204.49
AR,2003,19164839.89
AR,2004,13289495.57
AR,2005,44511214.63
AR,2006,2919776.72
AR,2008,71539659.94
AR,2009,333086492.5
AR,2010,12400274.71
AR,2011,70283105.58
AR,2013,32982797.83
AR,2014,20369341.95
AR,2015,16048380.89
AR,2016,18539233.06
AR,2017,37053655.88
AR,2019,57221162.38
AZ,2000,7222972.57
AZ,2002,1590042.22
AZ,2003,6927098.77
AZ,2005,26102189.78
AZ,2006,14279476.59
AZ,2010,18346173.45
AZ,2013,2132018.96
AZ,2014,7741736.8
AZ,2018,1987127.1
AZ,2019,738255.83
AZ,2020,67612162.61
CA,1999,67344149.27
CA,2003,141791092.3
CA,2004,90198891.39
CA,2005,360236685.4
CA,2006,248065503.1
CA,2007,183335500.7
CA,2008,403038466.7
CA,2010,72295129.13
CA,2011,151347307.8
CA,2013,30958061.21
CA,2014,36413253.67
CA,2015,317289775.4
CA,2017,1361528259
CA,2018,1703431811
CA,2019,68272033.29
CA,2020,1044324885
CO,1999,6730129.67
CO,2001,5931737.56
CO,2003,7829976.61
CO,2005,12996268.84
CO,2007,12686581.24
CO,2012,5388309.35
CO,2013,466326532.3
CO,2015,34500240.13
CO,2020,132920409.3
CT,1999,2382129.98
CT,2003,11427196.11
CT,2004,12191700.24
CT,2005,21343707.79
CT,2006,12720000.59
CT,2007,6198776.71
CT,2010,12445122.08
CT,2011,195191615.3
CT,2012,80480325.57
CT,2013,41325220.27
CT,2015,12703775.53
CT,2018,25241797.58
CT,2020,587757.17
DE,1999,4332533.84
DE,2003,18709459.55
DE,2004,1058683.35
DE,2005,89661.81
DE,2006,674723.7
DE,2010,12385464.02
DE,2011,3963317.95
DE,2012,8816041.59
DE,2016,2133100.32
FL,1999,190206619.7
FL,2000,403887232.9
FL,2001,48956145.12
FL,2003,15208803.09
FL,2004,2726271451
FL,2005,1860968141
FL,2007,13780770.6
FL,2008,143744929.6
FL,2009,47894440.55
FL,2012,86811348.86
FL,2013,54702085.79
FL,2014,170331735.5
FL,2016,567079700.8
FL,2017,2199030943
FL,2018,1211272106
FL,2019,8613723.34
FL,2020,395986614.8
GA,1999,7079589.32
GA,2000,50507574.24
GA,2004,34488878.5
GA,2005,9199292
GA,2007,66743770.93
GA,2008,18915398.1
GA,2009,132261252.7
GA,2011,26858066.26
GA,2014,59005182.41
GA,2015,14008031.48
GA,2016,147492874
GA,2017,206868454.1
GA,2018,151868361.7
GA,2020,75191143.95
HI,2000,5371467.41
HI,2005,24431123.84
HI,2006,35102266.6
HI,2008,3472117.28
HI,2009,1281870.71
HI,2011,8433859.98
HI,2012,4186682.85
HI,2014,20982347.67
HI,2016,5156848.01
HI,2018,179210788.1
HI,2020,4939642.18
IA,1999,25013045.71
IA,2001,11062278.83
IA,2002,7145808.67
IA,2004,18971667.7
IA,2005,232383.23
IA,2007,112507054.8
IA,2008,1317612174
IA,2009,8602319.42
IA,2010,193317549
IA,2011,78334303.11
IA,2013,59894684.07
IA,2014,49458467.29
IA,2015,9308171.05
IA,2016,29203964.35
IA,2017,7643870.22
IA,2018,27518103.83
IA,2019,106004379.7
IA,2020,169199158.2
ID,2005,2666703.41
ID,2006,1417715.7
ID,2008,2186270.28
ID,2010,3309470.08
ID,2011,3868176.27
ID,2015,3267926.28
ID,2016,17494057.62
ID,2017,30320405.86
ID,2019,3393627.31
ID,2020,317613.46
IL,1999,34960840.95
IL,2001,29205617.31
IL,2002,20097365.59
IL,2004,2485581.19
IL,2005,5403743.55
IL,2006,21262695.29
IL,2007,49792510.95
IL,2008,110601780.4
IL,2009,36846436.65
IL,2010,6660411.93
IL,2011,82941448.26
IL,2013,39732933.11
IL,2019,38356122.81
IL,2020,2274352.67
IN,1999,12579342.15
IN,2001,4650962.97
IN,2002,10482369.64
IN,2003,8878811.89
IN,2004,8994625.17
IN,2005,36240700.38
IN,2007,11686423.11
IN,2008,171181382.9
IN,2009,14989503.24
IN,2011,17946302.05
IN,2012,6504167.76
IN,2014,12676534.67
IN,2018,19143805.34
IN,2020,1814307.3
KS,1999,3272159.02
KS,2000,782847.26
KS,2001,3462334.07
KS,2002,58416690.92
KS,2003,7925975.59
KS,2004,15321681.23
KS,2005,122654973.3
KS,2006,56719865.54
KS,2007,472636170.3
KS,2008,379448354
KS,2009,62575955.93
