,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
175,1990-0346-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Oklahoma, Kansas, Nebraska, Missouri, Iowa, Illinois, Alabama, Georgie",,,,1990,3,13,1990,3,17,15
176,1990-0357-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Arkansas, Virginie, Caroline du Nord",,,,1990,5,1,1990,5,9,13
177,1990-0359-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Arkansas, Kansas, Missouri, Illinois, Indiana, Kentucky",,,,1990,5,14,1990,5,17,
178,1990-0360-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Nebraska, Iowa, Kansas, Missouri, Texas, Oklahoma, Arkansas",,,,1990,5,18,1990,5,21,
179,1990-0363-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Colorado, Kansas, Missouri, Indiana, Kentucky",,,,1990,6,6,1990,6,8,
180,1990-0350-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Texas,,,,1990,4,5,1990,4,5,
181,1990-0353-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Oklahoma,,,,1990,4,16,1990,4,17,
182,1990-0355-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Kansas, Louisiane, Alabama, Georgie, Caroline du Sud",,,,1990,4,24,1990,4,28,
183,1990-0362-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Indiana, Illinois, Ohio, Kansas, Kentucky",,,,1990,6,1,1990,6,3,10
184,1990-0707-USA,1990,Hydrological,Flood,Riverine flood,,"Washington, Oregon, Idaho, Montana, Wyoming, Colorado",Heavy rain,,,1990,1,9,1990,1,11,3
187,1990-0366-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Illinois, Indiana, Ohio",,,,1990,6,14,1990,6,14,21
188,1990-0378-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Colorado,,,,1990,7,11,1990,7,11,
189,1990-0398-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana, New York, Kentucky, Tennessee, Georgie",,,,1990,8,28,1990,8,28,24
190,1990-0413-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Caroline Du Nord, Virginie, Maryland, Pennsylvanie, New Jersey, Connecticut, New York",,,,1990,10,18,1990,10,18,
191,1990-0419-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana, Missouri",,,,1990,11,27,1990,11,27,
192,1990-0187-USA,1990,Geophysical,Earthquake,Ground movement,,Southern California,,34.140 N,117.70 W,1990,2,28,1990,2,28,
193,1990-0703-USA,1990,Geophysical,Earthquake,Ground movement,,Alamo (central California),,37.885 N,121.983 W,1990,3,30,1990,3,30,
194,1990-0713-USA,1990,Hydrological,Flood,Flash flood,,"Vicksburg (Warren county, Mississippi)",Brief torrential rain,,,1990,5,31,1990,6,2,
195,1990-0708-USA,1990,Hydrological,Flood,Riverine flood,,Baton Rouge (Louisiana),Heavy rain,,,1990,1,25,1990,1,27,
196,1990-0254-USA,1990,Meteorological,Extreme temperature,Cold wave,,"Washington, Ohio, Illinois, Indiana",,,,1990,12,20,1990,12,20,
197,1990-0373-USA,1990,Meteorological,Extreme temperature,Heat wave,,"Californie, Arizona, Colorado",,,,1990,6,25,1990,6,25,11
198,1990-0135-USA,1990,Biological,Epidemic,Viral disease,,Florida,,,,1990,7,,1990,7,,3
199,1990-0073-USA,1990,Hydrological,Flood,,,Shadyside (Ohio state),,,,1990,6,21,1990,6,21,35
200,1990-0420-USA,1990,Meteorological,Storm,,,,,,,1990,12,18,1990,12,18,79
202,1991-0485-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Californie, Arizona",,,,1991,2,27,1991,2,28,
203,1991-0484-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Texas, Louisiane",,,,1991,2,18,1991,2,19,
204,1991-0486-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Louisiane, Mississippi, Alabama, Georgie, North Carolina, South Carolina, Floride, New York",,,,1991,3,1,1991,3,4,
205,1991-0500-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Texas, Kansas, Iowa, Louisiane, Nebraska, Missouri, Mississippi, Oklahoma, Alabama, Georgie, Arkansas",,,,1991,4,26,1991,4,29,33
207,1991-0515-USA,1991,Meteorological,Storm,Convective storm,Hail,Montana,,,,1991,6,24,1991,6,24,
208,1991-0508-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Nevada, Colorado, Kansas, Nebraska, Oklahoma, Texas",,,,1991,5,30,1991,5,30,
209,1991-0513-USA,1991,Meteorological,Storm,Convective storm,Tornado,"South Dakota, Minnesota",,,,1991,6,17,1991,6,17,
210,1991-0514-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Colorado, Texas, Kansas, Nebraska, Oklahoma, Missouri",,,,1991,6,21,1991,6,21,
211,1991-0516-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Wisconsin, Ohio, Maryland, Michigan, Indiana, Kentucky, Virginie",,,,1991,7,7,1991,7,7,
212,1991-0540-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Kansas, Missouri, Illinois",,,,1991,10,2,1991,10,2,
213,1991-0546-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Washington, Oregon, Texas, Arkansas, Ten Nessee, Illinois, Louisiane, Mississippi",,,,1991,11,16,1991,11,16,
214,1991-0422-USA,1991,Meteorological,Storm,Convective storm,Sand/Dust storm,California,,,,1991,11,30,1991,11,30,15
215,1991-0488-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Illinois, Indiana",,,,1991,3,11,1991,3,11,
216,1991-0192-USA,1991,Geophysical,Earthquake,Ground movement,,Pasadena area (California),,34.10 N,118.09 W,1991,6,28,1991,6,28,2
217,1991-0490-USA,1991,Hydrological,Flood,Riverine flood,,"Arkansas, Oklahoma, Texas, Indiana, Iowa, Mississippi, Tennessee, Illinois, Kentucky, Missouri",,,,1991,3,21,1991,3,21,
218,1991-0491-USA,1991,Hydrological,Flood,Riverine flood,,"Kansas, Missouri, Ohio, Illinois, Wisconsin, New York, Indiana, Tennessee, Michigan, Alabama, Pennsylvanie, Kentucky",,,,1991,3,26,1991,3,26,
219,1991-0492-USA,1991,Hydrological,Flood,Riverine flood,,"Alabama, Georgie, North + South Carolina",,,,1991,3,28,1991,3,28,
220,1991-0493-USA,1991,Hydrological,Flood,Riverine flood,,"Tennessee, Pennsylvanie, West Virginia, Kentucky",,,,1991,4,8,1991,4,8,
221,1991-0494-USA,1991,Hydrological,Flood,Riverine flood,,"Nebraska, Kansas, Texas, Oklahoma, Louisiane, Arkansas, Mississippi",,,,1991,4,11,1991,4,11,
222,1991-0496-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Arizona, Floride, Louisiane, Mississippi, Alabama, Georgie",,,,1991,4,18,1991,4,18,
223,1991-0499-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Floride, Louisiane",,,,1991,4,24,1991,4,24,
224,1991-0501-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Alabama, Georgie, Louisiane, Mississ Ippi, Arkansas, Missouri, Kansas, Illinois, Nebraska, Oklahoma",,,,1991,5,2,1991,5,2,
225,1991-0502-USA,1991,Hydrological,Flood,Riverine flood,,"North + South Dakota, Nebraska",,,,1991,5,10,1991,5,10,
226,1991-0503-USA,1991,Hydrological,Flood,Riverine flood,,"Illinois, Indiana, Iowa, Wyoming, Colorado, Oklahoma, Kansas, Missouri, Nebraska",,,,1991,5,15,1991,5,15,
227,1991-0504-USA,1991,Hydrological,Flood,Riverine flood,,Texas,,,,1991,5,21,1991,5,21,
228,1991-0505-USA,1991,Hydrological,Flood,Riverine flood,,"Colorado, Texas, Kansas, Oklahoma, Missouri",,,,1991,5,23,1991,5,23,
229,1991-0218-USA,1991,Meteorological,Storm,Tropical cyclone,,"North Carolina, Delaware, New York, Richmond, Maine, Rhode Island, Connecticut, Massachusetts, Indiana, Michigan, Ohio, Kentucky",,,,1991,8,18,1991,8,20,18
230,1991-0423-USA,1991,Meteorological,Storm,Tropical cyclone,,"New England, New York, New Jersey",,,,1991,10,30,1991,10,30,2
231,1991-0543-USA,1991,Meteorological,Storm,Tropical cyclone,,"Massachusetts, New York, Rhode Island, New Jersey, Connecticut",,,,1991,10,29,1991,10,29,2
232,1991-0425-USA,1991,Climatological,Wildfire,Forest fire,,"Washington, Idaho, Montana, Wyoming, Colorado",,,,1991,10,17,1991,10,17,2
233,1991-0426-USA,1991,Climatological,Wildfire,Forest fire,,Oakland,,,,1991,10,21,1991,10,22,26
234,1991-9476-USA,1991,Climatological,Drought,Drought,,California,,,,1991,1,,1991,7,,
235,1991-9523-USA,1991,Climatological,Drought,Drought,,"Pennsylvania, Maryland",,,,1991,7,,1991,7,,
236,1991-0406-USA,1991,Meteorological,Storm,,,Texas,,,,1991,12,15,1991,12,15,17
237,1991-0487-USA,1991,Hydrological,Flood,,,"Californie, Nevada",,,,1991,3,2,1991,3,2,
