Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1984,0,0,0,0,0,15,6,0,0,0,0,5,0,0,0,6,28,4,0,0,0,0,0,11,0,3,6,0,0,0,8,3,1,15,0,4,1,7,0,0,16,10,4,12,3,5,0,3,4,0
1985,0,2,0,2,8,0,8,0,19,0,0,0,0,23,0,0,0,14,13,0,0,21,0,0,4,0,0,0,0,0,4,5,0,4,0,0,0,12,68,0,2,0,0,0,52,0,1,0,29,1
1986,6,0,0,0,39,0,0,0,0,0,0,0,0,8,0,10,0,0,0,1,0,30,0,30,0,23,1,0,0,3,0,0,6,0,0,41,0,1,31,0,25,0,0,4,0,0,12,10,0,0
1987,0,0,11,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,14,0,10,0,1,0,0,0,0,8,0,0,0,5,4,16,5,0,32,0,1,0,0,0,0,0,0,0,0,0
1988,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0
1989,3,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,90,52,0,1,4,0,8,0,0,0,29,6,0,0,0,0,0,0,13,0,0,0,57,24,0,0,105,1,1,5,4,0,0,0
1990,1,60,37,9,4,1,0,0,11,47,0,56,0,16,31,0,0,0,0,0,0,0,0,10,35,0,0,0,23,8,0,0,0,0,25,39,3,0,0,13,1,3,64,0,0,5,26,18,0,0
1991,1,12,21,0,1,0,6,0,0,15,0,16,0,0,73,0,19,53,11,0,9,0,0,0,72,0,0,0,7,4,0,0,0,1,0,0,0,0,0,0,0,31,70,0,0,0,17,5,0,0
1992,0,0,5,0,11,0,3,2,15,0,6,9,0,1,21,0,0,36,0,0,11,0,10,0,0,0,0,0,8,0,17,1,0,5,24,0,4,0,35,0,8,0,29,0,28,5,1,10,0,0
1993,0,0,0,17,33,0,0,0,0,0,0,114,0,39,6,57,0,9,0,0,12,0,57,137,0,0,1,39,65,0,0,4,0,0,0,44,5,0,0,0,39,0,3,0,1,4,7,47,0,0
1994,3,27,0,5,3,3,0,2,28,13,0,0,0,16,0,0,0,8,0,0,1,0,0,18,26,2,0,25,0,0,0,0,1,0,0,1,1,44,0,0,22,88,42,2,33,0,4,0,0,0
1995,4,43,0,2,99,0,0,0,25,51,0,0,0,19,0,0,0,12,1,0,0,0,15,62,4,0,15,32,0,0,0,0,0,1,11,17,1,0,14,0,53,0,1,0,24,6,0,0,3,0
1996,2,17,6,3,4,1,0,0,16,0,2,31,10,44,85,0,4,0,10,9,17,7,26,0,0,21,75,33,4,12,5,1,4,57,29,14,42,89,71,5,0,0,104,0,115,12,44,2,65,0
1997,0,3,53,0,48,13,0,0,0,0,0,0,30,7,13,0,101,3,0,0,0,5,133,0,4,23,0,106,39,0,1,0,7,0,18,0,14,0,0,0,143,6,21,0,0,5,55,4,16,0
1998,0,44,0,0,41,0,0,1,197,119,3,83,0,0,34,32,61,22,7,0,22,15,0,22,35,0,47,16,0,16,0,12,0,32,23,3,1,7,80,1,9,84,336,0,5,17,5,19,21,0
1999,0,19,22,4,10,12,3,1,171,8,0,38,0,1,0,0,3,23,1,11,7,1,9,6,0,1,149,46,3,3,30,8,6,20,0,0,0,15,78,54,0,78,252,0,68,10,0,10,0,0
2000,14,17,0,8,1,4,0,0,45,57,3,0,16,0,0,3,32,11,0,15,8,2,23,11,0,81,33,43,0,0,2,60,3,28,9,14,0,0,0,38,7,22,18,0,109,6,4,30,26,5
2001,1,28,22,0,0,15,0,0,35,1,0,23,0,10,0,1,37,0,7,0,6,0,72,0,84,5,0,38,29,0,21,2,2,62,4,51,2,3,28,1,25,15,2,1,17,2,32,32,38,3
2002,20,31,20,10,14,80,0,0,0,0,0,21,0,0,63,0,76,60,0,0,0,6,20,79,17,6,0,7,0,0,1,10,4,6,20,0,15,0,0,1,3,59,59,1,26,5,2,8,8,4
2003,3,38,23,7,23,4,0,4,12,0,1,0,0,16,67,15,119,0,0,44,0,0,0,76,40,10,49,1,19,2,0,2,4,17,41,28,5,52,31,0,1,103,18,1,145,4,18,0,113,1
2004,13,67,28,3,24,2,0,1,232,111,1,77,0,4,89,31,105,38,5,0,7,26,7,37,44,0,64,22,39,0,6,6,6,89,127,0,32,141,78,33,10,15,0,1,26,7,5,44,50,0
2005,5,141,75,43,82,2,13,3,122,159,5,99,46,102,179,151,122,260,26,24,28,83,87,115,135,56,147,29,104,16,30,33,25,83,150,84,1,78,17,46,36,95,765,12,134,0,3,73,61,0
2006,11,0,7,15,57,4,0,1,1,0,7,0,1,6,3,20,0,24,3,3,1,0,18,71,0,4,0,16,32,7,4,27,16,34,9,104,26,28,0,0,7,15,276,0,43,0,29,0,0,2
2007,1,8,0,0,32,1,7,0,28,22,4,84,4,11,1,214,9,3,8,0,18,0,8,37,0,4,0,16,99,10,17,4,5,19,8,170,24,8,0,0,29,0,121,5,0,13,34,14,18,1
2008,4,71,121,1,38,5,0,0,119,21,3,85,2,43,109,123,73,161,9,0,16,12,6,200,109,4,7,0,71,21,0,4,1,16,33,82,1,0,26,0,30,19,470,0,0,12,2,31,18,0
2009,10,47,106,3,11,1,0,0,29,70,3,1,0,17,37,69,26,11,0,0,16,0,37,74,11,1,0,52,24,0,3,1,1,17,0,30,13,0,5,1,16,14,16,1,12,0,61,0,11,0
2010,0,3,25,24,13,2,5,0,0,0,1,117,8,11,0,92,91,0,17,0,7,0,86,37,18,3,58,88,163,8,16,9,1,9,0,154,0,0,31,0,108,59,46,1,0,3,2,12,11,3
