,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1984,3.111,2.256,2.249,2.351,2.537,2.249,2.422,2.313,2.286,2.277,3.022,2.282,2.425,2.349,2.267,2.234,2.302,2.25,2.36,2.321,2.36,2.285,2.316,2.243,2.265,2.385,2.237,2.427,2.296,2.376,2.352,2.362,2.405,2.345,2.271,2.249,2.475,2.304,2.328,2.227,2.345,2.243,2.235,2.416,2.294,2.422,2.429,2.298,2.358,2.341
1985,2.613,1.826,1.76,1.907,2.128,1.851,1.943,1.872,1.863,1.851,2.423,1.876,1.893,1.914,1.864,1.809,1.887,1.864,1.97,1.882,1.984,1.878,1.876,1.823,1.84,1.906,1.821,1.973,1.859,1.945,1.924,1.954,2.008,1.917,1.858,1.819,2.066,1.88,1.896,1.82,1.908,1.816,1.824,1.906,1.871,1.99,2.015,1.887,1.93,1.873
1986,3.39,2.772,2.706,2.784,2.913,2.768,2.808,2.754,2.767,2.794,3.23,2.719,2.807,2.792,2.73,2.675,2.769,2.788,2.822,2.76,2.846,2.734,2.698,2.671,2.727,2.802,2.745,2.78,2.669,2.818,2.824,2.821,2.83,2.828,2.695,2.68,2.934,2.744,2.73,2.768,2.734,2.742,2.713,2.778,2.762,2.929,2.857,2.744,2.826,2.835
1987,2.539,2.274,2.307,2.356,2.493,2.41,2.388,2.274,2.299,2.289,2.663,2.353,2.368,2.377,2.316,2.311,2.338,2.293,2.367,2.321,2.384,2.358,2.376,2.286,2.279,2.368,2.264,2.452,2.361,2.348,2.32,2.458,2.423,2.337,2.319,2.346,2.488,2.283,2.294,2.27,2.402,2.275,2.284,2.326,2.294,2.421,2.419,2.368,2.34,2.435
1988,2.395,2.076,2.035,2.191,2.286,2.154,2.205,2.154,2.108,2.095,2.617,2.067,2.136,2.12,2.059,2.036,2.099,2.099,2.162,2.163,2.144,2.094,2.114,2.049,2.097,2.091,2.052,2.13,2.083,2.169,2.189,2.211,2.231,2.144,2.048,2.043,2.229,2.085,2.145,2.066,2.14,2.064,2.082,2.097,2.111,2.196,2.201,2.123,2.116,2.184
1989,2.091,1.811,1.761,1.953,1.98,1.861,1.856,1.812,1.821,1.838,2.219,1.758,1.854,1.818,1.775,1.754,1.827,1.82,1.847,1.834,1.846,1.813,1.791,1.79,1.815,1.822,1.801,1.844,1.78,1.841,1.872,1.905,1.953,1.828,1.773,1.758,1.914,1.769,1.798,1.817,1.837,1.799,1.776,1.809,1.815,1.894,1.899,1.822,1.83,1.897
1990,1.7,1.379,1.352,1.57,1.653,1.444,1.476,1.432,1.402,1.393,1.789,1.359,1.464,1.434,1.384,1.359,1.412,1.364,1.463,1.422,1.47,1.409,1.433,1.368,1.396,1.421,1.369,1.46,1.373,1.464,1.486,1.448,1.643,1.464,1.386,1.328,1.528,1.382,1.427,1.39,1.427,1.373,1.343,1.43,1.392,1.508,1.502,1.426,1.42,1.452
1991,1.48,1.07,1.067,1.312,1.341,1.17,1.18,1.125,1.107,1.08,1.538,1.084,1.192,1.161,1.112,1.092,1.117,1.056,1.193,1.127,1.169,1.133,1.164,1.091,1.109,1.149,1.067,1.166,1.086,1.194,1.205,1.169,1.311,1.166,1.117,1.056,1.264,1.092,1.15,1.086,1.15,1.07,1.056,1.17,1.109,1.199,1.22,1.147,1.133,1.179
1992,1.287,0.911,0.902,0.964,1.021,1.009,0.98,0.929,0.933,0.901,1.195,0.917,0.951,0.998,0.937,0.926,0.952,0.9,0.982,0.94,0.991,0.944,1.01,0.927,0.939,0.95,0.899,1.013,0.921,0.981,0.984,0.982,1.022,0.951,0.948,0.885,0.995,0.887,0.956,0.917,0.983,0.898,0.893,0.94,0.936,1.0,0.961,0.963,0.94,1.019
1993,1.383,0.968,0.958,1.078,1.155,1.135,1.096,1.006,0.972,0.948,1.459,1.018,1.045,1.11,1.033,0.992,1.01,0.944,1.089,1.022,1.026,1.025,1.106,0.992,0.991,1.051,0.943,1.109,1.012,1.079,1.082,1.053,1.159,1.028,1.02,0.953,1.12,0.953,1.033,0.949,1.106,0.955,0.945,1.023,0.999,1.049,1.104,1.054,0.992,1.1
1994,1.33,1.05,1.025,1.147,1.19,1.134,1.168,1.113,1.05,1.027,1.322,1.07,1.145,1.15,1.092,1.037,1.094,1.043,1.173,1.068,1.133,1.099,1.139,1.061,1.084,1.147,1.041,1.146,1.075,1.157,1.169,1.124,1.251,1.125,1.098,1.024,1.206,1.058,1.117,1.036,1.159,1.026,1.022,1.102,1.08,1.146,1.187,1.099,1.078,1.151
1995,0.997,0.724,0.698,0.852,0.914,0.818,0.788,0.753,0.744,0.711,1.019,0.703,0.846,0.776,0.735,0.687,0.77,0.726,0.786,0.741,0.806,0.725,0.8,0.703,0.735,0.854,0.706,0.8,0.713,0.795,0.799,0.823,0.976,0.777,0.769,0.682,0.923,0.711,0.746,0.695,0.784,0.708,0.708,0.836,0.739,0.803,0.893,0.755,0.723,0.863
